date,ticker,side,shares,price,value,cost
2026-08-04,600726,buy,100.0,5.95,595.0,1.19
2026-08-04,600869,buy,100.0,14.16,1416.0,2.83
2026-08-04,600885,sell,-300.0,36.31,-10893.0,21.79
2026-08-04,600958,sell,-1100.0,9.22,-10142.0,20.28
2026-08-04,601288,buy,100.0,6.61,661.0,1.32
2026-08-04,601398,buy,100.0,7.66,766.0,1.53
2026-08-04,601658,buy,2000.0,5.02,10040.0,20.08
2026-08-04,601688,buy,100.0,19.6,1960.0,3.92
2026-08-04,601728,buy,100.0,6.29,629.0,1.26
2026-08-04,601939,buy,100.0,10.1,1010.0,2.02
2026-08-04,601988,buy,100.0,5.82,582.0,1.16
2026-08-04,603067,buy,300.0,32.94,9882.0,19.76
2026-08-04,688172,buy,203.0,49.72,10093.16,20.19
