date,nav,cash,positions_value,bench_nav
2026-04-08,94258.2,0.0,94258.2,92440.59
2026-04-09,95566.72,0.0,95566.72,93993.67
2026-04-10,97462.93,0.0,97462.93,95625.73
2026-04-13,97195.72,0.0,97195.72,95018.63
2026-04-14,98865.3,0.0,98865.3,97547.65
2026-04-15,99619.88,0.0,99619.88,98720.45
2026-04-16,99048.64,0.0,99048.64,97450.17
2026-04-17,101127.86,0.0,101127.86,99023.42
2026-04-20,101918.81,0.0,101918.81,99950.74
2026-04-21,102736.63,0.0,102736.63,100762.1
2026-04-22,101981.7,0.0,101981.7,100654.28
2026-04-23,104179.46,0.0,104179.46,103175.28
2026-04-24,101947.12,0.0,101947.12,100833.74
2026-04-27,102152.31,0.0,102152.31,100650.03
2026-04-28,103465.12,0.0,103465.12,101166.22
2026-04-29,101669.56,0.0,101669.56,99614.05
2026-04-30,104594.87,0.0,104594.87,102679.99
2026-05-06,107051.68,0.0,107051.68,104386.78
2026-05-07,110498.87,0.0,110498.87,107319.78
2026-05-08,109701.57,0.0,109701.57,107889.32
2026-05-11,111642.02,0.0,111642.02,110183.54
2026-05-12,112750.82,0.0,112750.82,111350.64
2026-05-13,110445.21,0.0,110445.21,109501.11
2026-05-14,114444.86,0.0,114444.86,113835.92
2026-05-15,110886.76,0.0,110886.76,109902.57
2026-05-18,108698.32,0.0,108698.32,107448.91
2026-05-19,109779.31,0.0,109779.31,107846.53
2026-05-20,111719.55,0.0,111719.55,108267.29
2026-05-21,115132.07,0.0,115132.07,110483.95
2026-05-22,109939.62,0.0,109939.62,106579.91
2026-05-25,115018.22,0.0,115018.22,109591.72
2026-05-26,114211.48,0.0,114211.48,109432.75
2026-05-27,113274.08,0.0,113274.08,108765.46
2026-05-28,112773.36,0.0,112773.36,106699.29
2026-05-29,117551.75,0.0,117551.75,109335.83
2026-06-01,112666.94,0.0,112666.94,105285.25
2026-06-02,109650.53,0.0,109650.53,103517.04
2026-06-03,112219.3,0.0,112219.3,104610.21
2026-06-04,112236.6,0.0,112236.6,104513.5
2026-06-05,115029.01,0.0,115029.01,105892.49
2026-06-08,108845.21,0.0,108845.21,100449.98
2026-06-09,112493.05,0.0,112493.05,102575.27
2026-06-10,115002.27,0.0,115002.27,103698.72
2026-06-11,113534.82,0.0,113534.82,102193.95
2026-06-12,117241.27,0.0,117241.27,105222.78
2026-06-15,114962.61,0.0,114962.61,104153.2
2026-06-16,121505.75,0.0,121505.75,108819.77
2026-06-17,123382.09,0.0,123382.09,109539.16
2026-06-18,127358.06,0.0,127358.06,112746.54
2026-06-22,131572.26,0.0,131572.26,115994.79
2026-06-23,132860.95,0.0,132860.95,117357.71
2026-06-24,126755.52,0.0,126755.52,113272.58
2026-06-25,132187.28,0.0,132187.28,117746.6
2026-06-26,132404.0,0.0,132404.0,118223.94
2026-06-29,130519.48,0.0,130519.48,116775.24
2026-06-30,127553.84,0.0,127553.84,115936.56
2026-07-01,131936.73,0.0,131936.73,119788.7
2026-07-02,125947.74,0.0,125947.74,115351.23
2026-07-03,123525.01,0.0,123525.01,113557.34
2026-07-06,123048.45,0.0,123048.45,113855.18
2026-07-07,116277.25,0.0,116277.25,109778.01
2026-07-08,115209.47,0.0,115209.47,108995.92
2026-07-09,113292.02,0.0,113292.02,106573.68
2026-07-10,117390.98,0.0,117390.98,110074.69
2026-07-13,109826.49,0.0,109826.49,104993.99
2026-07-14,104426.72,0.0,104426.72,100388.96
2026-07-15,108549.67,0.0,108549.67,103437.52
2026-07-16,99794.47,0.0,99794.47,97229.58
2026-07-17,97102.59,0.0,97102.59,94911.37
2026-07-20,91385.17,0.0,91385.17,90351.69
2026-07-21,84645.75,0.0,84645.75,85503.2
2026-07-22,89856.77,0.0,89856.77,89561.37
2026-07-23,89484.49,0.0,89484.49,89881.72
2026-07-24,87163.75,0.0,87163.75,87490.28
